symbol,date,open,high,low,close,volume
AUBANK,2017-07-10,265.25,273.3,262.2,268.35,21165022
AUBANK,2017-07-11,268.0,287.3,266.5,285.5,28565342
AUBANK,2017-07-12,288.65,321.3,287.9,319.5,35536694
AUBANK,2017-07-13,326.0,349.45,315.05,345.55,43750394
AUBANK,2017-07-14,348.9,362.75,280.55,299.4,67296768
AUBANK,2017-07-17,295.0,306.85,281.15,298.05,23021580
AUBANK,2017-07-18,295.0,301.5,290.55,294.45,7099796
AUBANK,2017-07-19,295.95,300.75,292.05,293.45,3583984
AUBANK,2017-07-20,294.0,299.45,288.55,291.3,6110080
AUBANK,2017-07-21,292.0,297.5,290.1,291.7,2877876
AUBANK,2017-07-24,293.25,295.45,288.0,293.2,2979578
AUBANK,2017-07-25,294.95,306.0,294.45,301.0,6180740
AUBANK,2017-07-26,301.15,303.5,296.0,297.5,2126020
AUBANK,2017-07-27,298.95,299.2,290.0,290.9,1698416
AUBANK,2017-07-28,289.0,299.35,285.0,294.25,4663896
AUBANK,2017-07-31,295.0,297.5,289.05,295.3,2100158
AUBANK,2017-08-01,296.0,296.25,291.5,292.95,844314
AUBANK,2017-08-02,291.1,294.95,290.0,291.0,930916
AUBANK,2017-08-03,291.0,292.75,274.05,279.25,1480784
AUBANK,2017-08-04,280.2,280.2,270.85,277.15,1403112
AUBANK,2017-08-07,275.0,290.7,248.1,275.7,14704942
AUBANK,2017-08-08,276.7,289.15,274.25,284.15,4743356
AUBANK,2017-08-09,282.5,282.5,270.5,274.95,2774206
AUBANK,2017-08-10,257.5,275.35,251.0,271.4,6399422
AUBANK,2017-08-11,266.0,273.9,262.55,270.75,1678474
AUBANK,2017-08-14,272.6,277.5,268.5,270.2,1176194
AUBANK,2017-08-16,272.55,275.9,270.15,272.05,975976
AUBANK,2017-08-17,273.2,276.25,271.05,271.75,651746
AUBANK,2017-08-18,270.7,274.5,267.5,268.85,573760
AUBANK,2017-08-21,270.35,273.25,268.65,270.1,1074978
AUBANK,2017-08-22,271.4,272.1,263.85,264.75,943080
AUBANK,2017-08-23,265.9,266.5,261.0,262.6,510576
AUBANK,2017-08-24,263.35,267.5,262.0,266.4,972048
AUBANK,2017-08-28,266.6,270.6,264.0,268.95,1001376
AUBANK,2017-08-29,265.5,279.4,265.5,272.4,1649802
AUBANK,2017-08-30,275.0,278.85,274.2,275.4,712294
AUBANK,2017-08-31,274.9,278.2,273.0,274.7,580208
AUBANK,2017-09-01,275.5,285.0,273.75,276.15,1765988
AUBANK,2017-09-04,277.85,282.15,271.0,278.5,1182770
AUBANK,2017-09-05,280.05,288.25,276.55,286.55,1989224
AUBANK,2017-09-06,284.0,289.0,281.8,283.9,1157354
