Basket,Processed Symbols,Skipped Symbols,total_return,average_period_return,annualised_return,cagr,volatility,annualised_volatility,downside_deviation,max_drawdown,drawdown_duration,sharpe_ratio,sortino_ratio,calmar_ratio
auto,15,0,-0.9480153342847988,-0.002397198694622458,-0.6040940710448595,-0.45651360377932215,0.006228170402287196,0.09886914004431016,0.006157207444006896,-0.9484807931474749,1221,-6.110036668409604,-98.11169698900645,-0.48131033024338843
bank,14,0,-0.9987522344117272,-0.002976764223792336,-0.7501445843956687,-0.5350832052330787,0.010597855934196227,0.16823574739423994,0.010270644139221526,-0.9987589500558217,2198,-4.458889362186483,-73.03773494897143,-0.5357480953769399
cement,16,0,-0.28016486820734443,-0.0016867821659757682,-0.4250691058258936,-0.34898761219491226,0.005486974640951418,0.08710302210045226,0.005113353378319743,-0.2775003134841537,192,-4.880072993743882,-83.12922545665562,-1.2576115962292083
chemicals,20,0,-0.9927784810366381,-0.003105719494577131,-0.782641312633437,-0.5461159269195894,0.006871856931951851,0.10908734692295943,0.0071644508646260645,-0.9927326089523045,1572,-7.174446301147651,-109.23953941783164,-0.5501138191641969
consumerdurables,15,0,-0.9798030320588215,-0.003022173860561342,-0.7615878128614583,-0.5358977499184765,0.006213148921086828,0.09863068142283014,0.006491883495900332,-0.9796823296480756,1275,-7.721611590581314,-117.3138447944123,-0.5470117544234806
finance,19,0,-0.8198410609517266,-0.002472708291553733,-0.6231224894715407,-0.46670752943519966,0.006121927938830077,0.09718259322241575,0.00621461101497921,-0.819371158773085,686,-6.4118734519199245,-100.26733579456787,-0.5695923324101877
fmcg,15,0,-0.9742450328658463,-0.0023059569089234344,-0.5811011410487055,-0.443564952196873,0.0058810117401279245,0.09335816713097823,0.00590679333177203,-0.9746430693473932,1572,-6.224427480816337,-98.37844468385623,-0.45510501859298874
healthcare,20,0,-0.8031715773499228,-0.0021290535237321116,-0.5365214879804922,-0.4170571324627178,0.004506836869391805,0.07154381733568563,0.004622475346273976,-0.8019022508081896,758,-7.499201300136363,-116.06800421617486,-0.5200847510309277
it,10,0,-0.9988329546296988,-0.0027273411165015245,-0.6872899613583842,-0.5024414656418699,0.008744262639452863,0.13881086605575318,0.00846212725345872,-0.9988444841598639,2437,-4.951269168527017,-81.21952563139116,-0.5030227163585704
media,10,0,-0.9763087861368912,-0.0028716400964185597,-0.7236533042974771,-0.5213733491715791,0.009765871264233766,0.15502840020620698,0.00895460275589573,-0.9766240974815906,1278,-4.667875713965496,-80.81355745468689,-0.5338526363582862
metal,15,0,-0.880736556297357,-0.002941496395695897,-0.741257091715366,-0.5293629125829485,0.009360779135407837,0.1485977620205481,0.009148391100603826,-0.8812194709680231,705,-4.98834626872015,-81.02595129174576,-0.6007163141793057
oilgas,13,0,-0.9951794084638448,-0.0028072184123779068,-0.7074190399192325,-0.5121613788994753,0.008519500653478916,0.1352428801413449,0.008330667240741068,-0.9952198626827636,1867,-5.230730365841777,-84.91745252524369,-0.5146213395689953
pharma,20,0,-0.8323753604371789,-0.0023372111073909855,-0.5889771990625283,-0.44732743675765996,0.005120640749541885,0.08128765185954727,0.005189876838106436,-0.8313526900638449,758,-7.245592480395319,-113.48577575829735,-0.5380717980515668
privatebank,10,0,-0.997886660376803,-0.002975861135238595,-0.7499170060801259,-0.5357219174342709,0.011130137882394938,0.17668546136805646,0.010781557773862388,-0.9979209888036398,2021,-4.244361705109178,-69.5555337929127,-0.5368380096670003
psubank,12,0,-0.99992898792545,-0.0032660090182389007,-0.823034272596203,-0.5740100017320363,0.01476706014122393,0.23441981237527723,0.013955481978114833,-0.9999293404814579,2801,-3.5109416062437013,-58.97569671093381,-0.5740505638684981
realty,10,0,-0.8900629325976028,-0.003272847653156691,-0.8247576085954861,-0.5690317535491536,0.011013083986989802,0.1748272883846563,0.010409755516896196,-0.8935622806640919,656,-4.717556487982861,-79.22929671660515,-0.6368126384276779
